"ESTADO","DISTRITO","NOMESTADO","NOMDISTRITO"
1,1,"AGUASCALIENTES","JESUS MARIA"
1,2,"AGUASCALIENTES","AGUASCALIENTES"
1,3,"AGUASCALIENTES","AGUASCALIENTES"
2,1,"BAJA CALIFORNIA","MEXICALI"
2,2,"BAJA CALIFORNIA","MEXICALI"
2,3,"BAJA CALIFORNIA","ENSENADA"
2,4,"BAJA CALIFORNIA","TIJUANA"
2,5,"BAJA CALIFORNIA","TIJUANA"
2,6,"BAJA CALIFORNIA","TIJUANA"
2,7,"BAJA CALIFORNIA","MEXICALI"
2,8,"BAJA CALIFORNIA","TIJUANA"
3,1,"BAJA CALIFORNIA SUR","MULEGE"
3,2,"BAJA CALIFORNIA SUR","LA PAZ"
4,1,"CAMPECHE","CAMPECHE"
4,2,"CAMPECHE","CARMEN"
5,1,"COAHUILA","PIEDRAS NEGRAS"
5,2,"COAHUILA","SAN PEDRO"
5,3,"COAHUILA","MONCLOVA"
5,4,"COAHUILA","SALTILLO"
5,5,"COAHUILA","TORREON"
5,6,"COAHUILA","TORREON"
5,7,"COAHUILA","SALTILLO"
6,1,"COLIMA","COLIMA"
6,2,"COLIMA","MANZANILLO"
7,1,"CHIAPAS","PALENQUE"
7,2,"CHIAPAS","BOCHIL"
7,3,"CHIAPAS","OCOSINGO"
7,4,"CHIAPAS","OCOZOCOAUTLA DE ESPINOSA"
7,5,"CHIAPAS","SAN CRISTOBAL DE LAS CASAS"
7,6,"CHIAPAS","TUXTLA GUTIERREZ"
7,7,"CHIAPAS","TONALA"
7,8,"CHIAPAS","COMITAN DE DOMINGUEZ"
7,9,"CHIAPAS","TUXTLA GUTIERREZ"
7,10,"CHIAPAS","VILLAFLORES"
7,11,"CHIAPAS","HUIXTLA"
7,12,"CHIAPAS","TAPACHULA"
8,1,"CHIHUAHUA","JUAREZ"
8,2,"CHIHUAHUA","JUAREZ"
8,3,"CHIHUAHUA","JUAREZ"
8,4,"CHIHUAHUA","JUAREZ"
8,5,"CHIHUAHUA","DELICIAS"
8,6,"CHIHUAHUA","CHIHUAHUA"
8,7,"CHIHUAHUA","CUAUHTEMOC"
8,8,"CHIHUAHUA","CHIHUAHUA"
8,9,"CHIHUAHUA","HIDALGO DEL PARRAL"
9,1,"DISTRITO FEDERAL","GUSTAVO A. MADERO"
9,2,"DISTRITO FEDERAL","GUSTAVO A. MADERO"
9,3,"DISTRITO FEDERAL","AZCAPOTZALCO"
9,4,"DISTRITO FEDERAL","IZTAPALAPA"
9,5,"DISTRITO FEDERAL","TLALPAN"
9,6,"DISTRITO FEDERAL","GUSTAVO A. MADERO"
9,7,"DISTRITO FEDERAL","GUSTAVO A. MADERO"
9,8,"DISTRITO FEDERAL","CUAUHTÉMOC"
9,9,"DISTRITO FEDERAL","VENUSTIANO CARRANZA"
9,10,"DISTRITO FEDERAL","MIGUEL HIDALGO"
9,11,"DISTRITO FEDERAL","VENUSTIANO CARRANZA"
9,12,"DISTRITO FEDERAL","CUAUHTÉMOC"
9,13,"DISTRITO FEDERAL","IZTACALCO"
9,14,"DISTRITO FEDERAL","TLALPAN"
9,15,"DISTRITO FEDERAL","BENITO JUÁREZ"
9,16,"DISTRITO FEDERAL","ALVARO OBREGÓN"
9,17,"DISTRITO FEDERAL","ALVARO OBREGÓN"
9,18,"DISTRITO FEDERAL","IZTAPALAPA"
9,19,"DISTRITO FEDERAL","IZTAPALAPA"
9,20,"DISTRITO FEDERAL","IZTAPALAPA"
9,21,"DISTRITO FEDERAL","XOCHIMILCO"
9,22,"DISTRITO FEDERAL","IZTAPALAPA"
9,23,"DISTRITO FEDERAL","COYOACÁN"
9,24,"DISTRITO FEDERAL","COYOACÁN"
9,25,"DISTRITO FEDERAL","IZTAPALAPA"
9,26,"DISTRITO FEDERAL","LA MAGDALENA CONTRERAS"
9,27,"DISTRITO FEDERAL","TLÁHUAC"
10,1,"DURANGO","DURANGO"
10,2,"DURANGO","GOMEZ PALACIO"
10,3,"DURANGO","GUADALUPE VICTORIA"
10,4,"DURANGO","DURANGO"
11,1,"GUANAJUATO","SAN LUIS DE LA PAZ"
11,2,"GUANAJUATO","SAN MIGUEL DE ALLENDE"
11,3,"GUANAJUATO","LEON"
11,4,"GUANAJUATO","GUANAJUATO"
11,5,"GUANAJUATO","LEON"
11,6,"GUANAJUATO","LEON"
11,7,"GUANAJUATO","SAN FRANCISCO DEL RINCON"
11,8,"GUANAJUATO","SALAMANCA"
11,9,"GUANAJUATO","IRAPUATO"
11,10,"GUANAJUATO","URIANGATO"
11,11,"GUANAJUATO","PENJAMO"
11,12,"GUANAJUATO","CELAYA"
11,13,"GUANAJUATO","VALLE DE SANTIAGO"
11,14,"GUANAJUATO","ACAMBARO"
12,1,"GUERRERO","PUNGARABATO"
12,2,"GUERRERO","IGUALA DE LA INDEPENDENCIA"
12,3,"GUERRERO","ZIHUATANEJO DE AZUETA"
12,4,"GUERRERO","ACAPULCO DE JUAREZ"
12,5,"GUERRERO","TLAPA DE COMONFORT"
12,6,"GUERRERO","CHILAPA DE ALVAREZ"
12,7,"GUERRERO","CHILPANCINGO DE LOS BRAVO"
12,8,"GUERRERO","AYUTLA DE LOS LIBRES"
